Tilda UID,Title,Price,City,Category,Link,dates
339655526361,Аюттайя,8500,Паттайя,История,https://ezyvizit.com/catalog/tproduct/512753191651-ayuttaiya,"пн,ср,сб"
613138887241,Камбоджа,23700,Паттайя;Пхукет,История;На несколько дней,https://ezyvizit.com/catalog/tproduct/252878322771-kambodzha,"пн,вт,ср,чт,пт,сб,вс"
458614037351,Тайские мальдивы,49300,Паттайя,Острова;На несколько дней,https://ezyvizit.com/similan_island/tproduct/281527694671-taiskie-maldivi,"пн,вт,ср,чт,пт,сб,вс"
974811757781,Остров Ко Чанг,12700,Паттайя,Острова;На несколько дней,https://ezyvizit.com/ko-chang,"пн,чт"
729635098031,Бангкок исторический,10600,Паттайя,История,https://ezyvizit.com/catalog/tproduct/209155833301-bangkok-istoricheskii,"пн,вт,ср,чт,пт,сб,вс"
808741819981,Бангкок город контрастов,10600,Паттайя,История,https://ezyvizit.com/catalog/tproduct/179587244451-bangkok-gorod-kontrastov,"пн,вт,ср,чт,пт,сб,вс"
901848715981,Вечер в старом Сиаме,8800,Паттайя,История,https://ezyvizit.com/catalog/tproduct/964850482641-vecher-v-starom-siame,"пн,вт,ср,чт,пт,сб,вс"
448186039751,Логово дракона,8500,Паттайя,История,https://ezyvizit.com/catalog/tproduct/867964103361-logovo-drakona,"вт,чт,вс"
852591026241,Экспедиция Следопыт,8500,Паттайя,История,https://ezyvizit.com/catalog/tproduct/539957469811-ekspeditsiya-sledopit,"пн,ср,пт"
816856264421,Над облаками,18500,Паттайя,История;На несколько дней,https://ezyvizit.com/catalog/tproduct/721794863321-nad-oblakami,"пн,чт"
938352363701,Тайны Сиама,8200,Паттайя,История,https://ezyvizit.com/catalog/tproduct/146721204221-taini-siama,"пн,вт,ср,чт,пт,сб,вс"
646063706031,Ко Куд — остров Баунти,19400,Паттайя,Острова;На несколько дней,https://ezyvizit.com/similan_island/tproduct/915262755111-ko-kud-ostrov-baunti,"пн,вт,ср,чт,пт,сб,вс"
154403073761,Остров Ко Самед 1 день,5000,Паттайя,Острова,https://ezyvizit.com/similan_island/tproduct/958839680401-ostrov-ko-samed-1-den,"пн,вт,ср,чт,пт,сб,вс"
408660665611,Остров Ко Си Чанг 1 день,5300,Паттайя,Острова,https://ezyvizit.com/similan_island/tproduct/123811154781-ostrov-ko-si-chang-1-den,"вт,пт"
969361105451,Изумительный остров,7400,Паттайя,Острова,https://ezyvizit.com/similan_island/tproduct/716991400291-izumitelnii-ostrov,"вт,чт,сб"
171714471641,Остров принцессы,7400,Паттайя,Острова,https://ezyvizit.com/similan_island/tproduct/658508719941-ostrov-printsessi,"пн,ср,пт"
979768718461,Военный пляж,1800,Паттайя,Острова,https://ezyvizit.com/similan_island/tproduct/494659494541-voennii-plyazh,"пн,вт,ср,чт,пт,сб,вс"
217383832861,Пляж танцующей девушки,1900,Паттайя,Острова,https://ezyvizit.com/similan_island/tproduct/936049336931-plyazh-tantsuyuschei-devushki,"пн,вт,ср,чт,пт,сб,вс"
826110322761,Катамаран Serenity,11300,Паттайя,Приключения,https://ezyvizit.com/catalog/tproduct/577645147731-katamaran-serenity,"пн,вт,ср,чт,пт,сб,вс"
946158599851,Рай на реке Квай,13100,Паттайя,Приключения,https://ezyvizit.com/catalog/tproduct/353409297791-rai-na-reke-kvai,"пн,вт,ср,чт,пт,сб,вс"
997719881621,Квай 2.0,19400,Паттайя,Приключения;На несколько дней,https://ezyvizit.com/catalog/tproduct/381540545931-kvai-20,"чт,вс"
291932319921,Мистический Бангкок,10600,Паттайя,Приключения;Бангкок,https://ezyvizit.com/catalog/tproduct/131978454821-misticheskii-bangkok,"пн,вс"
676808055191,Изумительный Таиланд,8500,Паттайя,Приключения,https://ezyvizit.com/catalog/tproduct/528943643791-izumitelnii-tailand,"пн,чт,вс"
400264602631,Сталкер,16600,Паттайя,Приключения;На несколько дней,https://ezyvizit.com/catalog/tproduct/653156579791-stalker,"чт,вс"
158676670771,Край водопадов,8800,Паттайя,Приключения;Природа,https://ezyvizit.com/catalog/tproduct/795207506391-krai-vodopadov,"пн,ср,пт"
254724628061,Instagram тур,6700,Паттайя,Приключения,https://ezyvizit.com/catalog/tproduct/366569570351-instagram-tur,"пн,вт,ср,чт,пт,сб,вс"
734995827691,Подводная одиссея,8100,Паттайя,Приключения;Природа,https://ezyvizit.com/catalog/tproduct/164458764041-podvodnaya-odisseya,"пн,вт,чт,пт,сб,вс"
